id,title,avgvote,releaseyear,tagline,budget,revenue,genres
"4476","Legends of the Fall","6.9","1994","After the Fall from Innocence the Legend begins.","30000000","160638883","Drama|Romance|War|Western"
"10063","The Breed","6.4","2006","Let the manhunt begin.",,"1675484","Horror"
"157354","Fruitvale Station","7.5","2013","Every step brings you closer to the edge.","900000","17600000","Drama"
"4477","The Devil's Own","6.1","1997","They come from different worlds. They fight for different causes. Now, two men from opposite sides of the law are about to go to war.","90000000","140807547","Crime|Drama|Thriller"
"10064","Edison","6.0","2005","In this city, only the cops are above the law.","25000000","4165675","Drama|Thriller"
"10065","The Amityville Horror","5.7","2005","What happened over the next 28 days has never been explained.","19000000","108100000","Drama|Horror|Thriller"
"157360","In a World...","6.4","2013","Speak up and let your voice be heard.","1000000","2963902","Comedy"
"4478","Indecent Proposal","5.8","1993","A husband. A wife. A millionaire. A proposal.","38000000","266614059","Drama|Romance"
"10066","House of Wax","5.6","2005","Prey. Slay. Display","40000000","68766121","Horror|Suspense"
"157370","Kill Your Darlings","6.5","2013","A true story of obsession and murder.","5600000","1600000","Drama|Romance|Thriller"
"10067","The Shaggy Dog","4.7","2006",,"50000000","87134280","Comedy|Family|Fantasy"
"44826","Hugo","6.6","2011","One of the most legendary directors of our time takes you on an extraordinary adventure.","170000000","185770160","Adventure|Drama|Family"
"10068","Nine 1/2 Weeks","6.1","1986","They Broke Every Rule","17000000","6735922","Drama|Romance"
"157375","The Lifeguard","5.4","2013","This Summer Growing Up is Optional",,,"Comedy|Drama|Romance"
"44833","Battleship","5.5","2012","The Battle for Earth Begins at Sea","209000000","303025485","Action|Adventure|Science Fiction|Thriller"
"10069","Stay Alive","4.7","2006","You die in the game - you die for real.","9000000","27105095","Horror|Thriller"
"157386","The Spectacular Now","7.3","2013","From the Writers of (500) Days of Summer","2500000","6854611","Comedy|Drama|Romance"
"44835","Hesher","6.3","2010","Sometimes life gives you the finger and sometimes it gives you...","7000000","449702","Drama"
"10070","Feast","6.8","2005",,"3200000","658573","Action|Comedy|Horror"
"15739","Annie","6.5","1982","The movie of 'Tomorrow'","35000000","57100000","Drama|Family|Musical"
"10072","A Nightmare on Elm Street 3: Dream Warriors","6.2","1987","If you think you're ready for Freddy, think again!","4000000","44800000","Horror|Thriller"
"44865","The Grandmaster","6.6","2013","In Martial Arts there is no right or wrong, only the last man standing.","3860000","64076736","Action|Drama|History"
"1573","Die Hard 2","6.3","1990","Die Harder","70000000","240031094","Action|Thriller"
"10073","Date Movie","4.1","2006","An Unprotected Comedy","20000000","48548426","Comedy|Romance"
"44877","4.3.2.1","6.4","2010","4 Girls, 3 Days, 2 Cities, 1 Chance.....","4600000","1163967","Action|Crime|Romance|Thriller"
"10074","Hot Rod","5.8","2007","Smack destiny in the face.",,"14353654","Action|Comedy"
"4488","Friday the 13th","6.6","1980","They were warned...They are doomed...And on Friday the 13th, nothing will save them.","550000","59800000","Horror"
"10075","Blood and Chocolate","6.2","2007","The hunt never tasted so sweet.","15000000","6300000","Drama|Horror|Romance|Thriller"
"157409","Crystal Fairy & the Magical Cactus","6.0","2013",,,,"Adventure|Comedy"
"44896","Rango","6.4","2011","Heroes come in all different colors.","135000000","245700000","Adventure|Animation|Comedy|Family|Western"
"10077","A Sound of Thunder","5.5","2005","Some Rules Should Never Be Broken.","80000000","11700000","Action|Adventure|Science Fiction|Thriller"
"10083","No Way Out","6.4","1987","Is it a crime of passion, or an act of treason?","15000000","35509515","Action|Adventure|Drama|Mystery|Romance|Thriller"
"157424","Cabin Fever: Patient Zero","6.2","2014","The Birth of Fear",,,"Horror"
"44912","Green Lantern","5.3","2011","In our darkest hour, there will be light.","200000000","219851172","Action|Adventure|Science Fiction|Thriller"
"10086","Man Bites Dog","7.7","1992",,"33000","205569","Action|Crime"
"1574","Chicago","6.1","2002","If You Can't Be Famous, Be Infamous.","45000000","306776732","Action|Comedy|Crime|Drama|Music"
"44918","Titanic 2","3.0","2010","100 years later, lightning strikes twice",,,"Action|Adventure|Suspense|Thriller"
"100898","North Sea Texas","8.6","2011","A teenage boy's search for love finds him fixated on the boy next door.",,,"Drama|Romance"
"157547","Oculus","6.2","2013","You see what it wants you to see","5000000","44459951","Horror"
"44943","Battle Los Angeles","5.5","2011","It's not war. It's survival.","70000000","211800000","Action|Science Fiction"
"10090","Reno 911!: Miami","6.1","2007","In a time of crisis, America will call Reno 911!","10000000","20342161","Action|Adventure|Comedy|Crime"
"10092","Cry Wolf","5.5","2005","Nobody believes a liar...even when they're telling the truth.","1000000","10047674","Horror|Thriller"
"44945","Trust","6.0","2010","What took her family years to build, a stranger stole in an instant.","9500000","120000","Drama|Indie|Thriller"
"15764","Sophie's Choice","7.6","1982",,"12000000","30000000","Drama|Romance"
"10096","13 Going On 30","5.7","2004","For some, 13 feels like it was just yesterday. For Jenna, it was.","37000000","96500000","Comedy"
"44977","Dhoom 3","6.8","2013","Back in Action","19500000","91000000","Action|Crime|Thriller"
"1576","Resident Evil","6.3","2002","A secret experiment. A deadly virus. A fatal mistake.","33000000","103000000","Action|Horror|Science Fiction"
"10098","The Kid","8.0","1921","6 reels of Joy.","250000","2500000","Comedy|Drama"
"15774","Swades: We, the People","8.4","2004",,"2900000","4800000","Drama|Foreign"
"100","Lock, Stock and Two Smoking Barrels","7.2","1998","A Disgrace to Criminals Everywhere.","1350000","28356188","Comedy|Crime"
"44982","13","5.8","2010","Spin. Aim. Survive.",,"3317662","Drama|Thriller"
"15775","If Only","6.5","2004","He loved her like there was no tomorrow.","532673","3000000","Action|Adventure|Drama|Romance|Science Fiction"
"10105","Saints and Soldiers","7.1","2003",,"780000","1310470","Action|Adventure|Drama|History|War"
"44992","IMAX Hubble","7.5","2010","Change your view of our universe.",,,"Documentary"
"10110","Empire of the Sun","7.1","1987","To survive in a world at war, he must find a strength greater than all the events that surround him.","35000000","66700000","Drama|History|War"
"1577","Resident Evil: Apocalypse","6.2","2004","You're all going to die.","45000000","129400000","Action|Horror|Science Fiction"
"45077","Every Day","5.0","2010","A comedy about a New York City couple in romantic crisis",,"18000","Comedy|Drama|Romance"
"10112","The Aristocats","6.3","1970","A tune-filled animated extravaganza.","4000000","191000000","Adventure|Animation|Comedy|Family"
"157820","Mood Indigo","6.1","2013",,"16040770","10435322","Drama|Fantasy"
"10115","Stick It","5.8","2006","It's not called gym-nice-tics.",,,"Comedy|Drama|Family|Sports Film"
"45094","Conviction","6.9","2010","An extraordinary journey of how far we go to fight for our family.","12500000","11826980","Drama"
"10116","Shinobi: Heart Under Blade","5.8","2005",,,,"Action"
"157823","Night Moves","5.2","2014",,,"271755","Drama|Thriller"
"4512","The Assassination of Jesse James by the Coward Robert Ford","6.8","2007","Beyond the myth lies America's greatest betrayal","30000000","14711793","Action|Drama|Western"
"101173","Coriolanus","6.5","2012","Nature Teaches Beasts to Know Their Friends","7700000","1072602","Drama|Thriller"
"157832","Calvary","6.9","2014",,,"3593460","Drama"
"45132","Super","6.8","2011","Shut up, crime!","2500000","324138","Action|Comedy|Drama"
"101179","Truth or Dare","6.1","2012","Truth or Die",,,"Horror|Mystery|Thriller"
"157834","The Zero Theorem","6.0","2014","Nothing is Everything","8500000","770706","Drama|Fantasy|Science Fiction"
